# kind	commit	bench	measured	ms
rat-O1	146121a4afee8e7a489d627b48f64495af30e5cd	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:05:10+00:00	0
rat-O0	99d907ca45396df7663ae2eff0c7988ec1e8c520	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:05:22+00:00	0
rat-O1	99d907ca45396df7663ae2eff0c7988ec1e8c520	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:05:31+00:00	0
rat-O0	0c0e8b2858e152389de56629f78488b0c589ff9c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:05:43+00:00	0
rat-O1	0c0e8b2858e152389de56629f78488b0c589ff9c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:05:51+00:00	0
rat-O0	2c35e60c2969ac6583002ded31053dbbaa8eac36	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:06:03+00:00	0
rat-O1	2c35e60c2969ac6583002ded31053dbbaa8eac36	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:06:12+00:00	0
rat-O0	effe1483dc653dab081cc41c59ab14325528fc0b	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:06:24+00:00	0
rat-O1	effe1483dc653dab081cc41c59ab14325528fc0b	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:06:32+00:00	0
rat-O0	b1122130ffd4fa93478ea8f9ea15d38e1675d462	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:06:44+00:00	0
rat-O1	b1122130ffd4fa93478ea8f9ea15d38e1675d462	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:06:53+00:00	0
rat-O0	4caaafaf28fc6337e50d524f47c8bccc53c950b4	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:07:05+00:00	0
rat-O1	4caaafaf28fc6337e50d524f47c8bccc53c950b4	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:07:13+00:00	0
rat-O0	e7dc3748730b7005e0a22b6670009b94c96719a1	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:07:25+00:00	0
rat-O1	e7dc3748730b7005e0a22b6670009b94c96719a1	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:07:33+00:00	0
